*******  2020-04-01  *******

Incidents retrieved: 6

Event #1 - Date: ; Location: Saginaw'; Chems: ['CHLORINE-BASED PRODUCTS.', 'FURANS.', 'DIOXINS', 'DIOXIN-LIKE', 'FURANS', 'DIOXIN']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-could-return-in-Saginaw-following-6983154.php']
Event #5 - Date: ; Location: Saginaw'; Chems: ['FURANS.', 'DIOXINS', 'FURANS', 'DIOXIN-LIKE', 'CHLORINE-BASED', 'DIOXIN']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-could-return-in-Saginaw-following-6983154.php']
Event #6 - Date: 04/02/1999; Location: ; Chems: ['OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Fights-Pollution-in-Mediterranean-7148033.php']
Event #7 - Date: 04/02/1999; Location: ; Chems: ['OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Fights-Pollution-in-Mediterranean-7139221.php']
Event #8 - Date: 04/02/1990; Location: ('Tallapoos', '', '', '', '', '', '', '', '', ''); Chems: ['PCB-CONTAMINATED', 'HAZARDOUS WASTE', 'TOXIC', 'PCBS', 'HAZARDOUS WASTES']; Article Links: ['https://www.ourmidland.com/news/article/Blacks-Organize-to-Fight-Pollution-7148339.php']
Event #9 - Date: 04/02/1999; Location: ('Gratio', '', '', '', '', '', '', '', '', ''); Chems: ['ETHYL', 'OIL', 'ACID', 'PETROLEUM', 'POLYBROMINATED BIPHENYLS', 'METHYL', 'HEXABROMOBENZENE.', 'HYDROCHLORIC ACID']; Article Links: ['https://www.ourmidland.com/news/article/Pollution-stretches-back-years-7047346.php']
Event #10 - Date: 04/02/2000; Location: Kisho; Chems: ['WASTEWATER']; Article Links: ['https://www.ourmidland.com/news/article/Israel-Warned-Against-Pollution-7082415.php']
Event #11 - Date: ; Location: Midland; Chems: ['GASOLINE.', 'ACID', 'NITROGEN', 'ALUMINUM', 'DIOXIDE.', 'SULFUR']; Article Links: ['https://www.ourmidland.com/news/article/EPA-Announces-Air-Pollution-Reductions-7138779.php']
Event #12 - Date: 04/02/1995; Location: ('', '', '', 'Morr', '', '', '', '', '', ''); Chems: ['SEWAGE', 'OIL', 'LEAD']; Article Links: ['https://www.ourmidland.com/news/article/Disease-Pollution-Threaten-Calif-Otters-7110875.php']
Event #13 - Date: 04/02/2001; Location: ; Chems: ['HERBICIDE', 'HERBICIDES']; Article Links: ['https://www.ourmidland.com/news/article/Mich-Bans-Herbicide-Linked-to-Pollution-7204170.php']
Event #14 - Date: ; Location: ; Chems: ['OIL-DIRTIED', 'OIL']; Article Links: ['https://www.ourmidland.com/news/article/France-Battles-Spreading-Oil-Pollution-7165479.php']
Event #15 - Date: 04/02/1980; Location: ; Chems: ['GASOLINE', 'LEAD-BASED', 'PESTICIDES', 'MERCURY', 'LEAD', 'MEDICAL WASTE']; Article Links: ['https://www.ourmidland.com/news/article/EPA-Shows-Pollution-Risks-to-Children-7063491.php']
